N,m,Time (seconds),Accuracy
100,200,0.0,0.6
100,10000,0.06519842147827148,0.94
100,505000,2.5823893547058105,1.0
100,1000000,4.659204483032227,1.0
150,300,0.0,0.54
150,22500,0.16152215003967285,0.94
150,1698750,10.898853302001953,1.0
150,3375000,21.301392316818237,1.0
200,400,0.0,0.585
200,40000,0.3498563766479492,0.95
200,4020000,33.000184774398804,1.0
200,8000000,66.52999901771545,1.0
250,500,0.0,0.572
250,62500,0.6981842517852783,0.948
250,7843750,81.02777409553528,0.996
250,15625000,160.4100432395935,1.0
300,600,0.01547551155090332,0.5433333333333333
300,90000,1.068263053894043,0.9566666666666667
300,13545000,159.80719709396362,1.0
300,27000000,317.4308531284332,1.0
350,700,0.0,0.5514285714285714
350,122500,1.8149409294128418,0.9628571428571429
350,21498750,288.8507742881775,0.9971428571428571
350,42875000,569.3994989395142,1.0
400,800,0.01562047004699707,0.5525
400,160000,2.484697103500366,0.965
400,32080000,483.5559341907501,0.9975
400,64000000,954.69748711586,1.0
450,900,0.0,0.5511111111111111
450,202500,3.5335030555725098,0.9711111111111111
450,45663750,837.4266641139984,0.9977777777777778
450,91125000,1599.1734280586243,1.0
