N,m,Time (seconds)
5,10,0.008014202117919922
5,25,0.0
5,75,0.0
5,125,0.00042819976806640625
5,10,0.008046865463256836
5,25,0.03232216835021973
5,75,0.007998466491699219
5,125,0.0
5,10,0.008015632629394531
5,25,0.040251970291137695
5,75,0.007999420166015625
5,125,0.008459806442260742
5,10,0.0
5,25,0.02438211441040039
5,75,0.007997751235961914
5,125,0.008254766464233398
5,10,0.0
5,25,0.0
5,75,0.007987260818481445
5,125,0.008025169372558594
9,18,0.07300686836242676
9,81,0.2553982734680176
9,405,0.016292095184326172
9,729,0.01601552963256836
9,18,0.06509637832641602
9,81,0.8090856075286865
9,405,0.4247429370880127
9,729,0.1392214298248291
9,18,0.03285789489746094
9,81,3.418196439743042
9,405,0.3332953453063965
9,729,0.24077916145324707
9,18,0.0489504337310791
9,81,0.05699658393859863
9,405,0.03313708305358887
9,729,0.03241372108459473
9,18,0.04898548126220703
9,81,1.3966362476348877
9,405,0.37616634368896484
9,729,0.25675535202026367
12,24,0.9329922199249268
12,144,61.232823848724365
12,936,2.440117359161377
12,1728,1.3422331809997559
12,24,0.8220155239105225
12,144,30.770373821258545
12,936,0.4238128662109375
12,1728,0.44803547859191895
12,24,0.645341157913208
12,144,19.70228123664856
12,936,1.9420421123504639
12,1728,1.7519745826721191
12,24,0.39070892333984375
12,144,1.1840472221374512
12,936,0.2600228786468506
12,1728,0.2039051055908203
12,24,0.7426812648773193
12,144,129.27915215492249
12,936,1.1159517765045166
12,1728,2.006397008895874
